year,city,country,avg_temp
1743,Columbus,United States,7.46
1744,Columbus,United States,15.73
1745,Columbus,United States,6.91
1746,Columbus,United States,
1747,Columbus,United States,
1748,Columbus,United States,
1749,Columbus,United States,
1750,Columbus,United States,14.62
1751,Columbus,United States,15.36
1752,Columbus,United States,8.30
1753,Columbus,United States,14.00
1754,Columbus,United States,14.11
1755,Columbus,United States,11.66
1756,Columbus,United States,14.24
1757,Columbus,United States,13.62
1758,Columbus,United States,12.55
1759,Columbus,United States,13.55
1760,Columbus,United States,12.10
1761,Columbus,United States,14.52
1762,Columbus,United States,14.00
1763,Columbus,United States,11.94
1764,Columbus,United States,13.96
1765,Columbus,United States,13.58
1766,Columbus,United States,14.45
1767,Columbus,United States,13.22
1768,Columbus,United States,12.86
1769,Columbus,United States,13.73
1770,Columbus,United States,13.59
1771,Columbus,United States,14.48
1772,Columbus,United States,14.23
1773,Columbus,United States,14.37
1774,Columbus,United States,13.93
1775,Columbus,United States,14.86
1776,Columbus,United States,13.64
1777,Columbus,United States,13.56
1778,Columbus,United States,11.19
1779,Columbus,United States,6.06
1780,Columbus,United States,
1781,Columbus,United States,14.13
1782,Columbus,United States,13.65
1783,Columbus,United States,13.40
1784,Columbus,United States,13.35
1785,Columbus,United States,13.16
1786,Columbus,United States,13.70
1787,Columbus,United States,13.73
1788,Columbus,United States,14.24
1789,Columbus,United States,13.98
1790,Columbus,United States,13.89
1791,Columbus,United States,14.08
1792,Columbus,United States,13.57
1793,Columbus,United States,14.15
1794,Columbus,United States,14.25
1795,Columbus,United States,13.97
1796,Columbus,United States,13.78
1797,Columbus,United States,13.70
1798,Columbus,United States,14.45
1799,Columbus,United States,14.12
1800,Columbus,United States,14.02
1801,Columbus,United States,14.38
1802,Columbus,United States,14.59
1803,Columbus,United States,14.45
1804,Columbus,United States,14.39
1805,Columbus,United States,14.59
1806,Columbus,United States,14.06
1807,Columbus,United States,13.84
1808,Columbus,United States,13.81
1809,Columbus,United States,13.01
1810,Columbus,United States,13.18
1811,Columbus,United States,13.33
1812,Columbus,United States,12.44
1813,Columbus,United States,13.52
1814,Columbus,United States,13.31
1815,Columbus,United States,12.88
1816,Columbus,United States,12.43
1817,Columbus,United States,12.53
1818,Columbus,United States,13.19
1819,Columbus,United States,13.24
1820,Columbus,United States,13.25
1821,Columbus,United States,13.08
1822,Columbus,United States,14.14
1823,Columbus,United States,13.50
1824,Columbus,United States,14.03
1825,Columbus,United States,14.66
1826,Columbus,United States,14.35
1827,Columbus,United States,14.74
1828,Columbus,United States,15.57
1829,Columbus,United States,13.97
1830,Columbus,United States,15.23
1831,Columbus,United States,13.27
1832,Columbus,United States,14.28
1833,Columbus,United States,14.39
1834,Columbus,United States,14.88
1835,Columbus,United States,13.81
1836,Columbus,United States,13.20
1837,Columbus,United States,13.97
1838,Columbus,United States,13.36
1839,Columbus,United States,14.24
1840,Columbus,United States,14.43
1841,Columbus,United States,14.00
1842,Columbus,United States,14.41
1843,Columbus,United States,13.33
1844,Columbus,United States,14.48
1845,Columbus,United States,14.29
1846,Columbus,United States,14.72
1847,Columbus,United States,13.70
1848,Columbus,United States,14.15
1849,Columbus,United States,14.02
1850,Columbus,United States,14.21
1851,Columbus,United States,14.14
1852,Columbus,United States,14.19
1853,Columbus,United States,14.28
1854,Columbus,United States,14.96
1855,Columbus,United States,14.10
1856,Columbus,United States,12.84
1857,Columbus,United States,12.88
1858,Columbus,United States,14.22
1859,Columbus,United States,13.93
1860,Columbus,United States,14.11
1861,Columbus,United States,13.93
1862,Columbus,United States,14.06
1863,Columbus,United States,13.57
1864,Columbus,United States,13.24
1865,Columbus,United States,14.04
1866,Columbus,United States,13.37
1867,Columbus,United States,13.68
1868,Columbus,United States,13.07
1869,Columbus,United States,13.20
1870,Columbus,United States,13.91
1871,Columbus,United States,14.34
1872,Columbus,United States,12.89
1873,Columbus,United States,13.26
1874,Columbus,United States,14.45
1875,Columbus,United States,13.05
1876,Columbus,United States,13.56
1877,Columbus,United States,14.10
1878,Columbus,United States,14.37
1879,Columbus,United States,14.22
1880,Columbus,United States,14.40
1881,Columbus,United States,14.54
1882,Columbus,United States,14.23
1883,Columbus,United States,13.90
1884,Columbus,United States,13.68
1885,Columbus,United States,12.43
1886,Columbus,United States,12.91
1887,Columbus,United States,13.88
1888,Columbus,United States,13.46
1889,Columbus,United States,13.71
1890,Columbus,United States,14.58
1891,Columbus,United States,13.73
1892,Columbus,United States,13.22
1893,Columbus,United States,13.50
1894,Columbus,United States,14.25
1895,Columbus,United States,13.14
1896,Columbus,United States,14.36
1897,Columbus,United States,14.25
1898,Columbus,United States,14.09
1899,Columbus,United States,13.96
1900,Columbus,United States,14.27
1901,Columbus,United States,13.02
1902,Columbus,United States,13.86
1903,Columbus,United States,13.41
1904,Columbus,United States,13.17
1905,Columbus,United States,13.45
1906,Columbus,United States,14.00
1907,Columbus,United States,13.75
1908,Columbus,United States,14.48
1909,Columbus,United States,14.04
1910,Columbus,United States,13.54
1911,Columbus,United States,14.97
1912,Columbus,United States,13.30
1913,Columbus,United States,14.41
1914,Columbus,United States,13.79
1915,Columbus,United States,13.92
1916,Columbus,United States,14.06
1917,Columbus,United States,12.72
1918,Columbus,United States,14.10
1919,Columbus,United States,14.57
1920,Columbus,United States,13.50
1921,Columbus,United States,15.52
1922,Columbus,United States,14.93
1923,Columbus,United States,14.14
1924,Columbus,United States,13.08
1925,Columbus,United States,14.53
1926,Columbus,United States,13.54
1927,Columbus,United States,14.86
1928,Columbus,United States,13.66
1929,Columbus,United States,13.83
1930,Columbus,United States,14.35
1931,Columbus,United States,15.10
1932,Columbus,United States,14.68
1933,Columbus,United States,15.12
1934,Columbus,United States,14.36
1935,Columbus,United States,14.23
1936,Columbus,United States,14.38
