year,city,country,avg_temp
1841,Nagoya,Japan,13.90
1842,Nagoya,Japan,
1843,Nagoya,Japan,
1844,Nagoya,Japan,13.43
1845,Nagoya,Japan,14.20
1846,Nagoya,Japan,14.54
1847,Nagoya,Japan,14.50
1848,Nagoya,Japan,14.38
1849,Nagoya,Japan,14.36
1850,Nagoya,Japan,13.95
1851,Nagoya,Japan,13.93
1852,Nagoya,Japan,13.91
1853,Nagoya,Japan,14.11
1854,Nagoya,Japan,14.49
1855,Nagoya,Japan,14.75
1856,Nagoya,Japan,14.29
1857,Nagoya,Japan,14.22
1858,Nagoya,Japan,14.42
1859,Nagoya,Japan,14.39
1860,Nagoya,Japan,13.93
1861,Nagoya,Japan,14.03
1862,Nagoya,Japan,13.85
1863,Nagoya,Japan,14.55
1864,Nagoya,Japan,14.08
1865,Nagoya,Japan,14.56
1866,Nagoya,Japan,13.85
1867,Nagoya,Japan,14.71
1868,Nagoya,Japan,14.50
1869,Nagoya,Japan,14.40
1870,Nagoya,Japan,14.46
1871,Nagoya,Japan,14.45
1872,Nagoya,Japan,14.27
1873,Nagoya,Japan,13.78
1874,Nagoya,Japan,14.54
1875,Nagoya,Japan,14.30
1876,Nagoya,Japan,14.51
1877,Nagoya,Japan,14.82
1878,Nagoya,Japan,14.48
1879,Nagoya,Japan,14.95
1880,Nagoya,Japan,14.52
1881,Nagoya,Japan,14.32
1882,Nagoya,Japan,14.33
1883,Nagoya,Japan,14.27
1884,Nagoya,Japan,13.49
1885,Nagoya,Japan,13.88
1886,Nagoya,Japan,14.34
1887,Nagoya,Japan,14.32
1888,Nagoya,Japan,14.47
1889,Nagoya,Japan,13.97
1890,Nagoya,Japan,15.65
1891,Nagoya,Japan,14.64
1892,Nagoya,Japan,14.29
1893,Nagoya,Japan,14.14
1894,Nagoya,Japan,15.28
1895,Nagoya,Japan,14.46
1896,Nagoya,Japan,14.37
1897,Nagoya,Japan,14.26
1898,Nagoya,Japan,15.01
1899,Nagoya,Japan,14.53
1900,Nagoya,Japan,14.40
1901,Nagoya,Japan,14.38
1902,Nagoya,Japan,14.34
1903,Nagoya,Japan,14.54
1904,Nagoya,Japan,14.45
1905,Nagoya,Japan,14.54
1906,Nagoya,Japan,14.05
1907,Nagoya,Japan,14.18
1908,Nagoya,Japan,14.08
1909,Nagoya,Japan,14.20
1910,Nagoya,Japan,14.18
1911,Nagoya,Japan,14.74
1912,Nagoya,Japan,14.50
1913,Nagoya,Japan,14.06
1914,Nagoya,Japan,15.26
1915,Nagoya,Japan,15.09
1916,Nagoya,Japan,15.36
1917,Nagoya,Japan,13.94
1918,Nagoya,Japan,14.15
1919,Nagoya,Japan,14.70
1920,Nagoya,Japan,14.84
1921,Nagoya,Japan,14.24
1922,Nagoya,Japan,15.03
1923,Nagoya,Japan,14.87
1924,Nagoya,Japan,14.38
1925,Nagoya,Japan,14.25
1926,Nagoya,Japan,14.04
1927,Nagoya,Japan,14.44
1928,Nagoya,Japan,14.75
1929,Nagoya,Japan,14.59
1930,Nagoya,Japan,15.16
1931,Nagoya,Japan,14.56
1932,Nagoya,Japan,14.55
1933,Nagoya,Japan,14.82
1934,Nagoya,Japan,14.20
1935,Nagoya,Japan,14.60
1936,Nagoya,Japan,14.13
1937,Nagoya,Japan,15.05
1938,Nagoya,Japan,14.68
1939,Nagoya,Japan,14.84
1940,Nagoya,Japan,14.78
1941,Nagoya,Japan,15.00
1942,Nagoya,Japan,15.00
1943,Nagoya,Japan,14.52
1944,Nagoya,Japan,14.52
1945,Nagoya,Japan,14.05
1946,Nagoya,Japan,15.08
1947,Nagoya,Japan,14.14
1948,Nagoya,Japan,15.32
1949,Nagoya,Japan,14.66
1950,Nagoya,Japan,15.24
1951,Nagoya,Japan,14.88
1952,Nagoya,Japan,14.97
1953,Nagoya,Japan,15.00
1954,Nagoya,Japan,15.21
1955,Nagoya,Japan,15.55
1956,Nagoya,Japan,14.85
1957,Nagoya,Japan,14.70
1958,Nagoya,Japan,15.35
1959,Nagoya,Japan,15.94
1960,Nagoya,Japan,15.58
1961,Nagoya,Japan,15.88
1962,Nagoya,Japan,15.11
1963,Nagoya,Japan,14.82
1964,Nagoya,Japan,15.45
1965,Nagoya,Japan,14.37
1966,Nagoya,Japan,14.92
1967,Nagoya,Japan,15.09
1968,Nagoya,Japan,14.70
1969,Nagoya,Japan,14.84
1970,Nagoya,Japan,14.63
1971,Nagoya,Japan,14.80
1972,Nagoya,Japan,15.20
1973,Nagoya,Japan,15.00
1974,Nagoya,Japan,14.62
1975,Nagoya,Japan,15.08
1976,Nagoya,Japan,14.56
1977,Nagoya,Japan,15.31
1978,Nagoya,Japan,15.37
1979,Nagoya,Japan,15.77
1980,Nagoya,Japan,14.65
1981,Nagoya,Japan,14.41
1982,Nagoya,Japan,14.92
1983,Nagoya,Japan,15.18
1984,Nagoya,Japan,14.52
1985,Nagoya,Japan,15.24
1986,Nagoya,Japan,14.65
1987,Nagoya,Japan,15.59
1988,Nagoya,Japan,14.74
1989,Nagoya,Japan,15.47
1990,Nagoya,Japan,16.17
1991,Nagoya,Japan,15.49
1992,Nagoya,Japan,15.26
1993,Nagoya,Japan,14.72
1994,Nagoya,Japan,16.07
1995,Nagoya,Japan,14.97
1996,Nagoya,Japan,14.80
1997,Nagoya,Japan,15.39
1998,Nagoya,Japan,16.45
1999,Nagoya,Japan,15.79
2000,Nagoya,Japan,15.67
2001,Nagoya,Japan,15.47
2002,Nagoya,Japan,15.73
2003,Nagoya,Japan,15.35
2004,Nagoya,Japan,16.33
2005,Nagoya,Japan,15.36
2006,Nagoya,Japan,15.45
2007,Nagoya,Japan,15.94
2008,Nagoya,Japan,15.57
2009,Nagoya,Japan,15.67
2010,Nagoya,Japan,15.87
2011,Nagoya,Japan,15.43
