year,city,country,avg_temp
1845,Kawasaki,Japan,11.95
1846,Kawasaki,Japan,12.40
1847,Kawasaki,Japan,12.21
1848,Kawasaki,Japan,12.14
1849,Kawasaki,Japan,12.14
1850,Kawasaki,Japan,11.71
1851,Kawasaki,Japan,11.76
1852,Kawasaki,Japan,11.73
1853,Kawasaki,Japan,11.86
1854,Kawasaki,Japan,12.24
1855,Kawasaki,Japan,12.56
1856,Kawasaki,Japan,12.06
1857,Kawasaki,Japan,11.94
1858,Kawasaki,Japan,12.23
1859,Kawasaki,Japan,12.15
1860,Kawasaki,Japan,11.72
1861,Kawasaki,Japan,11.79
1862,Kawasaki,Japan,11.73
1863,Kawasaki,Japan,12.45
1864,Kawasaki,Japan,11.95
1865,Kawasaki,Japan,12.39
1866,Kawasaki,Japan,11.58
1867,Kawasaki,Japan,12.46
1868,Kawasaki,Japan,12.25
1869,Kawasaki,Japan,12.03
1870,Kawasaki,Japan,16.12
1871,Kawasaki,Japan,12.12
1872,Kawasaki,Japan,12.00
1873,Kawasaki,Japan,11.53
1874,Kawasaki,Japan,12.33
1875,Kawasaki,Japan,12.17
1876,Kawasaki,Japan,12.39
1877,Kawasaki,Japan,12.73
1878,Kawasaki,Japan,12.24
1879,Kawasaki,Japan,12.82
1880,Kawasaki,Japan,12.43
1881,Kawasaki,Japan,12.15
1882,Kawasaki,Japan,12.29
1883,Kawasaki,Japan,11.84
1884,Kawasaki,Japan,11.18
1885,Kawasaki,Japan,11.53
1886,Kawasaki,Japan,12.44
1887,Kawasaki,Japan,12.25
1888,Kawasaki,Japan,12.01
1889,Kawasaki,Japan,11.66
1890,Kawasaki,Japan,13.50
1891,Kawasaki,Japan,12.42
1892,Kawasaki,Japan,12.10
1893,Kawasaki,Japan,11.71
1894,Kawasaki,Japan,12.92
1895,Kawasaki,Japan,12.22
1896,Kawasaki,Japan,12.33
1897,Kawasaki,Japan,11.72
1898,Kawasaki,Japan,12.49
1899,Kawasaki,Japan,12.32
1900,Kawasaki,Japan,12.11
1901,Kawasaki,Japan,12.31
1902,Kawasaki,Japan,12.22
1903,Kawasaki,Japan,12.34
1904,Kawasaki,Japan,12.29
1905,Kawasaki,Japan,12.03
1906,Kawasaki,Japan,11.66
1907,Kawasaki,Japan,11.97
1908,Kawasaki,Japan,11.72
1909,Kawasaki,Japan,12.04
1910,Kawasaki,Japan,12.00
1911,Kawasaki,Japan,12.81
1912,Kawasaki,Japan,12.32
1913,Kawasaki,Japan,11.72
1914,Kawasaki,Japan,13.10
1915,Kawasaki,Japan,12.74
1916,Kawasaki,Japan,13.10
1917,Kawasaki,Japan,12.04
1918,Kawasaki,Japan,12.19
1919,Kawasaki,Japan,12.59
1920,Kawasaki,Japan,12.69
1921,Kawasaki,Japan,12.12
1922,Kawasaki,Japan,12.86
1923,Kawasaki,Japan,12.64
1924,Kawasaki,Japan,12.35
1925,Kawasaki,Japan,12.19
1926,Kawasaki,Japan,11.74
1927,Kawasaki,Japan,12.19
1928,Kawasaki,Japan,12.42
1929,Kawasaki,Japan,12.44
1930,Kawasaki,Japan,13.00
1931,Kawasaki,Japan,12.16
1932,Kawasaki,Japan,12.67
1933,Kawasaki,Japan,12.69
1934,Kawasaki,Japan,11.85
1935,Kawasaki,Japan,12.25
1936,Kawasaki,Japan,12.09
1937,Kawasaki,Japan,12.86
1938,Kawasaki,Japan,12.60
1939,Kawasaki,Japan,12.72
1940,Kawasaki,Japan,12.66
1941,Kawasaki,Japan,12.61
1942,Kawasaki,Japan,12.80
1943,Kawasaki,Japan,12.48
1944,Kawasaki,Japan,12.16
1945,Kawasaki,Japan,11.62
1946,Kawasaki,Japan,12.86
1947,Kawasaki,Japan,11.99
1948,Kawasaki,Japan,13.18
1949,Kawasaki,Japan,12.62
1950,Kawasaki,Japan,13.21
1951,Kawasaki,Japan,12.72
1952,Kawasaki,Japan,12.65
1953,Kawasaki,Japan,12.51
1954,Kawasaki,Japan,12.76
1955,Kawasaki,Japan,13.42
1956,Kawasaki,Japan,12.61
1957,Kawasaki,Japan,12.66
1958,Kawasaki,Japan,13.09
1959,Kawasaki,Japan,13.50
1960,Kawasaki,Japan,13.26
1961,Kawasaki,Japan,13.66
1962,Kawasaki,Japan,13.01
1963,Kawasaki,Japan,12.71
1964,Kawasaki,Japan,12.93
1965,Kawasaki,Japan,12.27
1966,Kawasaki,Japan,12.81
1967,Kawasaki,Japan,12.85
1968,Kawasaki,Japan,12.75
1969,Kawasaki,Japan,12.64
1970,Kawasaki,Japan,12.35
1971,Kawasaki,Japan,12.52
1972,Kawasaki,Japan,13.17
1973,Kawasaki,Japan,12.96
1974,Kawasaki,Japan,12.23
1975,Kawasaki,Japan,12.72
1976,Kawasaki,Japan,12.19
1977,Kawasaki,Japan,12.94
1978,Kawasaki,Japan,13.05
1979,Kawasaki,Japan,13.83
1980,Kawasaki,Japan,12.35
1981,Kawasaki,Japan,12.06
1982,Kawasaki,Japan,12.91
1983,Kawasaki,Japan,12.64
1984,Kawasaki,Japan,11.98
1985,Kawasaki,Japan,12.90
1986,Kawasaki,Japan,12.22
1987,Kawasaki,Japan,13.41
1988,Kawasaki,Japan,12.44
1989,Kawasaki,Japan,13.35
1990,Kawasaki,Japan,14.14
1991,Kawasaki,Japan,13.32
1992,Kawasaki,Japan,12.94
1993,Kawasaki,Japan,12.49
1994,Kawasaki,Japan,13.78
1995,Kawasaki,Japan,12.98
1996,Kawasaki,Japan,12.61
1997,Kawasaki,Japan,13.43
1998,Kawasaki,Japan,13.74
1999,Kawasaki,Japan,13.78
2000,Kawasaki,Japan,13.50
2001,Kawasaki,Japan,13.13
2002,Kawasaki,Japan,13.42
2003,Kawasaki,Japan,12.89
2004,Kawasaki,Japan,14.05
2005,Kawasaki,Japan,12.99
2006,Kawasaki,Japan,13.28
2007,Kawasaki,Japan,13.68
2008,Kawasaki,Japan,13.31
2009,Kawasaki,Japan,13.55
2010,Kawasaki,Japan,13.82
2011,Kawasaki,Japan,13.32
2012,Kawasaki,Japan,13.11
2013,Kawasaki,Japan,13.91
