year,city,country,avg_temp
1841,Kitakyushu,Japan,13.98
1842,Kitakyushu,Japan,14.50
1843,Kitakyushu,Japan,14.64
1844,Kitakyushu,Japan,14.35
1845,Kitakyushu,Japan,14.55
1846,Kitakyushu,Japan,14.72
1847,Kitakyushu,Japan,14.92
1848,Kitakyushu,Japan,14.69
1849,Kitakyushu,Japan,14.67
1850,Kitakyushu,Japan,14.20
1851,Kitakyushu,Japan,13.95
1852,Kitakyushu,Japan,14.04
1853,Kitakyushu,Japan,14.38
1854,Kitakyushu,Japan,14.84
1855,Kitakyushu,Japan,15.07
1856,Kitakyushu,Japan,14.61
1857,Kitakyushu,Japan,14.62
1858,Kitakyushu,Japan,14.68
1859,Kitakyushu,Japan,14.68
1860,Kitakyushu,Japan,14.07
1861,Kitakyushu,Japan,14.25
1862,Kitakyushu,Japan,14.00
1863,Kitakyushu,Japan,14.71
1864,Kitakyushu,Japan,14.28
1865,Kitakyushu,Japan,14.71
1866,Kitakyushu,Japan,14.27
1867,Kitakyushu,Japan,14.93
1868,Kitakyushu,Japan,14.81
1869,Kitakyushu,Japan,14.89
1870,Kitakyushu,Japan,14.80
1871,Kitakyushu,Japan,14.88
1872,Kitakyushu,Japan,14.64
1873,Kitakyushu,Japan,14.12
1874,Kitakyushu,Japan,14.80
1875,Kitakyushu,Japan,14.58
1876,Kitakyushu,Japan,14.81
1877,Kitakyushu,Japan,14.90
1878,Kitakyushu,Japan,14.70
1879,Kitakyushu,Japan,15.05
1880,Kitakyushu,Japan,14.69
1881,Kitakyushu,Japan,14.58
1882,Kitakyushu,Japan,14.60
1883,Kitakyushu,Japan,14.70
1884,Kitakyushu,Japan,13.70
1885,Kitakyushu,Japan,14.21
1886,Kitakyushu,Japan,14.50
1887,Kitakyushu,Japan,14.77
1888,Kitakyushu,Japan,14.88
1889,Kitakyushu,Japan,14.30
1890,Kitakyushu,Japan,15.74
1891,Kitakyushu,Japan,14.78
1892,Kitakyushu,Japan,14.49
1893,Kitakyushu,Japan,14.32
1894,Kitakyushu,Japan,15.78
1895,Kitakyushu,Japan,14.70
1896,Kitakyushu,Japan,14.67
1897,Kitakyushu,Japan,14.72
1898,Kitakyushu,Japan,15.62
1899,Kitakyushu,Japan,14.99
1900,Kitakyushu,Japan,14.65
1901,Kitakyushu,Japan,14.37
1902,Kitakyushu,Japan,14.79
1903,Kitakyushu,Japan,14.80
1904,Kitakyushu,Japan,14.68
1905,Kitakyushu,Japan,14.94
1906,Kitakyushu,Japan,14.37
1907,Kitakyushu,Japan,14.57
1908,Kitakyushu,Japan,14.57
1909,Kitakyushu,Japan,14.64
1910,Kitakyushu,Japan,14.34
1911,Kitakyushu,Japan,14.86
1912,Kitakyushu,Japan,14.59
1913,Kitakyushu,Japan,14.22
1914,Kitakyushu,Japan,15.57
1915,Kitakyushu,Japan,15.17
1916,Kitakyushu,Japan,15.48
1917,Kitakyushu,Japan,14.05
1918,Kitakyushu,Japan,14.32
1919,Kitakyushu,Japan,14.94
1920,Kitakyushu,Japan,15.13
1921,Kitakyushu,Japan,14.54
1922,Kitakyushu,Japan,15.20
1923,Kitakyushu,Japan,14.82
1924,Kitakyushu,Japan,14.58
1925,Kitakyushu,Japan,14.65
1926,Kitakyushu,Japan,14.54
1927,Kitakyushu,Japan,14.73
1928,Kitakyushu,Japan,15.04
1929,Kitakyushu,Japan,14.98
1930,Kitakyushu,Japan,15.42
1931,Kitakyushu,Japan,14.88
1932,Kitakyushu,Japan,14.78
1933,Kitakyushu,Japan,14.99
1934,Kitakyushu,Japan,14.59
1935,Kitakyushu,Japan,15.14
1936,Kitakyushu,Japan,14.22
1937,Kitakyushu,Japan,15.47
1938,Kitakyushu,Japan,15.05
1939,Kitakyushu,Japan,15.29
1940,Kitakyushu,Japan,15.02
1941,Kitakyushu,Japan,15.10
1942,Kitakyushu,Japan,15.11
1943,Kitakyushu,Japan,14.92
1944,Kitakyushu,Japan,15.02
1945,Kitakyushu,Japan,14.52
1946,Kitakyushu,Japan,15.37
1947,Kitakyushu,Japan,14.20
1948,Kitakyushu,Japan,15.66
1949,Kitakyushu,Japan,14.90
1950,Kitakyushu,Japan,15.35
1951,Kitakyushu,Japan,15.20
1952,Kitakyushu,Japan,15.09
1953,Kitakyushu,Japan,15.47
1954,Kitakyushu,Japan,15.54
1955,Kitakyushu,Japan,15.64
1956,Kitakyushu,Japan,14.69
1957,Kitakyushu,Japan,14.81
1958,Kitakyushu,Japan,15.61
1959,Kitakyushu,Japan,16.02
1960,Kitakyushu,Japan,15.84
1961,Kitakyushu,Japan,16.08
1962,Kitakyushu,Japan,15.19
1963,Kitakyushu,Japan,14.69
1964,Kitakyushu,Japan,15.82
1965,Kitakyushu,Japan,14.69
1966,Kitakyushu,Japan,15.29
1967,Kitakyushu,Japan,15.32
1968,Kitakyushu,Japan,14.87
1969,Kitakyushu,Japan,14.98
1970,Kitakyushu,Japan,14.96
1971,Kitakyushu,Japan,15.20
1972,Kitakyushu,Japan,15.30
1973,Kitakyushu,Japan,15.48
1974,Kitakyushu,Japan,14.72
1975,Kitakyushu,Japan,15.62
1976,Kitakyushu,Japan,14.73
1977,Kitakyushu,Japan,15.39
1978,Kitakyushu,Japan,15.95
1979,Kitakyushu,Japan,15.84
1980,Kitakyushu,Japan,14.53
1981,Kitakyushu,Japan,14.81
1982,Kitakyushu,Japan,15.36
1983,Kitakyushu,Japan,15.38
1984,Kitakyushu,Japan,14.95
1985,Kitakyushu,Japan,15.39
1986,Kitakyushu,Japan,14.78
1987,Kitakyushu,Japan,15.58
1988,Kitakyushu,Japan,15.22
1989,Kitakyushu,Japan,15.87
1990,Kitakyushu,Japan,16.46
1991,Kitakyushu,Japan,15.43
1992,Kitakyushu,Japan,15.68
1993,Kitakyushu,Japan,14.99
1994,Kitakyushu,Japan,16.41
1995,Kitakyushu,Japan,15.32
1996,Kitakyushu,Japan,15.32
1997,Kitakyushu,Japan,15.89
1998,Kitakyushu,Japan,16.74
1999,Kitakyushu,Japan,15.93
2000,Kitakyushu,Japan,15.95
2001,Kitakyushu,Japan,15.97
2002,Kitakyushu,Japan,16.00
2003,Kitakyushu,Japan,15.77
2004,Kitakyushu,Japan,16.54
2005,Kitakyushu,Japan,15.75
2006,Kitakyushu,Japan,15.92
2007,Kitakyushu,Japan,16.55
2008,Kitakyushu,Japan,15.98
2009,Kitakyushu,Japan,16.02
2010,Kitakyushu,Japan,16.01
2011,Kitakyushu,Japan,15.62
2012,Kitakyushu,Japan,15.54
2013,Kitakyushu,Japan,16.30
