year,city,country,avg_temp
1841,Kobe,Japan,13.72
1842,Kobe,Japan,14.18
1843,Kobe,Japan,14.32
1844,Kobe,Japan,13.97
1845,Kobe,Japan,14.16
1846,Kobe,Japan,14.44
1847,Kobe,Japan,14.48
1848,Kobe,Japan,14.34
1849,Kobe,Japan,14.31
1850,Kobe,Japan,13.87
1851,Kobe,Japan,13.77
1852,Kobe,Japan,13.79
1853,Kobe,Japan,14.04
1854,Kobe,Japan,14.45
1855,Kobe,Japan,14.71
1856,Kobe,Japan,14.24
1857,Kobe,Japan,14.20
1858,Kobe,Japan,14.35
1859,Kobe,Japan,14.33
1860,Kobe,Japan,13.82
1861,Kobe,Japan,13.94
1862,Kobe,Japan,13.75
1863,Kobe,Japan,14.45
1864,Kobe,Japan,14.00
1865,Kobe,Japan,14.44
1866,Kobe,Japan,13.83
1867,Kobe,Japan,14.62
1868,Kobe,Japan,14.45
1869,Kobe,Japan,14.40
1870,Kobe,Japan,14.41
1871,Kobe,Japan,14.43
1872,Kobe,Japan,14.22
1873,Kobe,Japan,13.71
1874,Kobe,Japan,14.47
1875,Kobe,Japan,14.23
1876,Kobe,Japan,14.46
1877,Kobe,Japan,14.70
1878,Kobe,Japan,14.40
1879,Kobe,Japan,14.83
1880,Kobe,Japan,14.44
1881,Kobe,Japan,14.25
1882,Kobe,Japan,14.27
1883,Kobe,Japan,14.29
1884,Kobe,Japan,13.41
1885,Kobe,Japan,13.88
1886,Kobe,Japan,14.28
1887,Kobe,Japan,14.31
1888,Kobe,Japan,14.45
1889,Kobe,Japan,13.94
1890,Kobe,Japan,15.49
1891,Kobe,Japan,14.50
1892,Kobe,Japan,14.21
1893,Kobe,Japan,14.07
1894,Kobe,Japan,15.26
1895,Kobe,Japan,14.40
1896,Kobe,Japan,14.26
1897,Kobe,Japan,14.24
1898,Kobe,Japan,14.99
1899,Kobe,Japan,14.50
1900,Kobe,Japan,14.33
1901,Kobe,Japan,14.20
1902,Kobe,Japan,14.31
1903,Kobe,Japan,14.46
1904,Kobe,Japan,14.36
1905,Kobe,Japan,14.51
1906,Kobe,Japan,13.98
1907,Kobe,Japan,14.09
1908,Kobe,Japan,14.12
1909,Kobe,Japan,14.16
1910,Kobe,Japan,14.08
1911,Kobe,Japan,14.58
1912,Kobe,Japan,14.37
1913,Kobe,Japan,13.95
1914,Kobe,Japan,15.23
1915,Kobe,Japan,14.95
1916,Kobe,Japan,15.31
1917,Kobe,Japan,13.84
1918,Kobe,Japan,14.04
1919,Kobe,Japan,14.64
1920,Kobe,Japan,14.81
1921,Kobe,Japan,14.19
1922,Kobe,Japan,14.95
1923,Kobe,Japan,14.69
1924,Kobe,Japan,14.30
1925,Kobe,Japan,14.26
1926,Kobe,Japan,14.10
1927,Kobe,Japan,14.38
1928,Kobe,Japan,14.74
1929,Kobe,Japan,14.52
1930,Kobe,Japan,15.08
1931,Kobe,Japan,14.50
1932,Kobe,Japan,14.42
1933,Kobe,Japan,14.72
1934,Kobe,Japan,14.28
1935,Kobe,Japan,14.64
1936,Kobe,Japan,14.00
1937,Kobe,Japan,15.01
1938,Kobe,Japan,14.69
1939,Kobe,Japan,14.85
1940,Kobe,Japan,14.70
1941,Kobe,Japan,14.80
1942,Kobe,Japan,14.82
1943,Kobe,Japan,14.47
1944,Kobe,Japan,14.63
1945,Kobe,Japan,14.06
1946,Kobe,Japan,14.95
1947,Kobe,Japan,14.05
1948,Kobe,Japan,15.31
1949,Kobe,Japan,14.67
1950,Kobe,Japan,15.14
1951,Kobe,Japan,14.76
1952,Kobe,Japan,14.84
1953,Kobe,Japan,14.98
1954,Kobe,Japan,15.10
1955,Kobe,Japan,15.35
1956,Kobe,Japan,14.66
1957,Kobe,Japan,14.59
1958,Kobe,Japan,15.32
1959,Kobe,Japan,15.88
1960,Kobe,Japan,15.46
1961,Kobe,Japan,15.77
1962,Kobe,Japan,15.02
1963,Kobe,Japan,14.69
1964,Kobe,Japan,15.50
1965,Kobe,Japan,14.27
1966,Kobe,Japan,14.84
1967,Kobe,Japan,15.06
1968,Kobe,Japan,14.63
1969,Kobe,Japan,14.72
1970,Kobe,Japan,14.70
1971,Kobe,Japan,14.88
1972,Kobe,Japan,15.06
1973,Kobe,Japan,15.05
1974,Kobe,Japan,14.55
1975,Kobe,Japan,15.12
1976,Kobe,Japan,14.36
1977,Kobe,Japan,15.14
1978,Kobe,Japan,15.40
1979,Kobe,Japan,15.62
1980,Kobe,Japan,14.40
1981,Kobe,Japan,14.38
1982,Kobe,Japan,14.87
1983,Kobe,Japan,15.20
1984,Kobe,Japan,14.53
1985,Kobe,Japan,15.18
1986,Kobe,Japan,14.56
1987,Kobe,Japan,15.37
1988,Kobe,Japan,14.66
1989,Kobe,Japan,15.38
1990,Kobe,Japan,16.12
1991,Kobe,Japan,15.38
1992,Kobe,Japan,15.21
1993,Kobe,Japan,14.68
1994,Kobe,Japan,16.06
1995,Kobe,Japan,14.83
1996,Kobe,Japan,14.79
1997,Kobe,Japan,15.37
1998,Kobe,Japan,16.39
1999,Kobe,Japan,15.66
2000,Kobe,Japan,15.58
2001,Kobe,Japan,15.40
2002,Kobe,Japan,15.71
2003,Kobe,Japan,15.27
2004,Kobe,Japan,16.19
2005,Kobe,Japan,15.36
2006,Kobe,Japan,15.43
2007,Kobe,Japan,16.03
2008,Kobe,Japan,15.55
2009,Kobe,Japan,15.61
2010,Kobe,Japan,15.80
2011,Kobe,Japan,15.38
2012,Kobe,Japan,15.14
2013,Kobe,Japan,16.00
